ID,Name,Genres
1,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
2,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
3,Quiz Show (1994),Drama
4,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
5,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
6,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
7,"Net, The (1995)",Action|Crime|Thriller
8,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
9,"Firm, The (1993)",Drama|Thriller
10,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
